student_id,data_split,age,semester,program_stream,institution_type,residence_mode,scholarship_holder,current_gpa,failed_subjects,backlog_count,credits_completion_ratio,attendance_pct,attendance_velocity_14d,consecutive_absent_days,lms_active_hours_week,lms_activity_velocity_pct,assignment_completion_pct,avg_assignment_delay_days,missed_assessments,fee_overdue_days,scholarship_delay_days,financial_support_requested,paid_work_hours_week,family_responsibility_hours_week,course_satisfaction_1_5,career_uncertainty_1_5,prerequisite_gap_score,language_transition_score,commute_minutes_one_way,hostel_issue_score,campus_belonging_1_5,mentor_interactions_month,overwhelmed_score_1_5,support_requested,F1_academic_difficulty,F2_attendance_decline,F3_low_engagement,F4_financial_stress,F5_work_pressure,F6_family_responsibility,F7_course_mismatch,F8_transition_language_gap,F9_commute_housing,F10_low_belonging_support,F11_wellbeing_support_need,synthetic_risk_probability,risk_tier,dominant_risk_factor,secondary_risk_factor,dropout_label,student_outcome,confirmed_exit_reason,generation_version
SYN01145,TRAIN,21,3,Engineering/Technology,Private,With Family,1,8.08,0,0,0.962,84.8,-4.0,2,10.3,-11.0,76.7,2.9,2,0,8,0,0.0,0.0,4.5,1.8,0.061,0.072,49,0.187,4.6,2,1.5,0,13.1,24.2,35.9,9.2,12.4,14.2,22.9,3.2,47.8,36.9,23.9,0.08,LOW,Commute / housing / accessibility,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01146,TRAIN,20,5,Science,Private,Hostel,1,6.35,3,5,0.788,94.8,-4.7,2,19.6,21.1,88.3,0.0,1,11,17,1,0.0,0.8,3.3,2.1,0.028,0.058,3,0.0,4.2,2,2.0,1,44.0,14.8,7.6,9.1,14.4,5.6,19.2,3.2,7.3,27.3,29.9,0.0647,LOW,Academic difficulty,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01147,VALID,18,2,Arts/Humanities,Government-Aided,PG/Rented,1,7.59,1,2,0.952,93.4,10.3,1,11.1,-4.4,81.2,2.8,0,23,9,0,11.5,13.4,2.5,3.6,0.383,0.255,30,0.16,4.8,4,3.0,1,23.2,16.3,20.4,17.9,15.6,38.4,56.0,39.7,48.3,21.9,44.6,0.1519,LOW,Course mismatch / low interest,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01148,TRAIN,19,7,Engineering/Technology,Private,Hostel,0,8.48,1,1,1.0,86.1,-2.7,0,8.9,16.9,80.1,5.5,2,26,0,1,0.0,0.5,4.3,1.5,0.088,0.092,14,0.197,3.7,3,1.9,0,9.8,18.6,22.4,36.9,23.4,23.5,9.5,0.5,37.1,32.2,14.6,0.0446,LOW,Commute / housing / accessibility,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01149,TRAIN,18,4,Engineering/Technology,Private,With Family,1,6.49,4,4,0.603,73.4,0.7,6,12.2,-7.1,80.4,3.3,2,11,0,1,0.0,18.7,3.4,1.4,0.356,0.079,55,0.152,5.0,4,2.0,0,61.5,39.8,34.7,3.8,5.1,44.2,32.5,18.9,46.0,17.4,26.7,0.1738,LOW,Academic difficulty,Commute / housing / accessibility,1,DROPOUT,WELLBEING_SUPPORT_NEED,SIH_SYN_V1_2026-08-22
SYN01150,TRAIN,21,2,Arts/Humanities,Government,Hostel,0,7.43,4,4,0.686,89.0,-6.5,1,10.7,-46.0,55.3,8.4,4,38,0,1,0.0,1.0,2.2,4.4,0.425,0.31,5,0.027,2.2,2,3.2,0,43.9,19.8,59.7,22.6,25.8,10.8,70.3,27.3,11.0,67.0,60.0,0.3704,LOW,Course mismatch / low interest,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01151,VALID,23,3,Engineering/Technology,Private,PG/Rented,0,7.91,2,3,0.791,71.5,-7.8,5,14.3,-8.6,68.7,4.8,0,36,0,0,8.6,0.0,2.9,3.6,0.278,0.276,37,0.117,3.0,2,2.5,0,32.3,34.8,35.2,31.8,20.2,10.3,73.0,30.4,43.6,50.3,31.4,0.2741,LOW,Course mismatch / low interest,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01152,TRAIN,21,7,Engineering/Technology,Government-Aided,Hostel,0,5.95,4,6,0.602,78.9,-9.0,6,6.3,-40.0,46.8,6.5,2,74,0,0,0.0,16.3,3.9,3.3,0.369,0.168,9,0.247,3.4,3,5.0,1,59.8,64.4,61.9,56.2,34.7,45.9,33.4,26.9,35.7,45.4,94.4,0.8189,CRITICAL,Wellbeing / support need,Attendance decline,1,DROPOUT,WELLBEING_SUPPORT_NEED,SIH_SYN_V1_2026-08-22
SYN01153,TRAIN,19,2,Science,Government-Aided,With Family,0,7.06,2,5,0.682,77.0,-7.8,5,10.5,-29.0,57.1,6.9,2,15,0,1,10.8,0.0,3.7,3.0,0.391,0.301,74,0.057,3.5,3,4.0,1,52.2,43.2,53.8,22.4,13.7,6.6,47.4,34.7,10.1,40.4,47.5,0.3056,LOW,Low learning engagement,Academic difficulty,1,DROPOUT,ACADEMIC_DIFFICULTY,SIH_SYN_V1_2026-08-22
SYN01154,TRAIN,19,8,Science,Government,With Family,1,8.7,1,0,0.946,79.0,-2.4,5,13.2,-42.5,72.6,2.5,2,19,29,1,0.0,19.0,5.0,1.0,0.254,0.293,37,0.0,3.6,4,4.7,0,14.1,37.4,38.5,26.2,24.7,71.8,6.7,18.0,26.9,28.6,90.6,0.2575,LOW,Wellbeing / support need,Family/domestic responsibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01155,TRAIN,21,6,Arts/Humanities,Government-Aided,With Family,0,7.66,2,3,0.745,89.2,-0.9,2,9.6,-21.6,68.2,6.2,1,11,0,0,0.0,11.4,4.8,2.1,0.125,0.167,67,0.0,2.7,2,3.8,1,35.3,33.8,42.2,15.0,12.0,12.6,24.9,25.1,38.0,38.6,82.3,0.2237,LOW,Wellbeing / support need,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01156,TRAIN,19,2,Education,Government-Aided,Hostel,0,7.37,2,3,0.751,69.0,-4.7,3,12.4,-7.6,84.4,6.3,2,62,0,1,18.4,9.8,2.6,2.8,0.416,0.365,5,0.296,3.9,4,2.3,0,36.2,36.2,25.8,48.2,47.5,5.5,48.9,37.1,8.4,22.3,23.3,0.2408,LOW,Course mismatch / low interest,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01157,TRAIN,18,3,Commerce/Management,Private,With Family,0,7.15,2,6,0.774,80.5,0.4,2,12.7,25.1,73.6,3.8,3,35,0,1,0.0,8.6,3.9,2.1,0.293,0.114,48,0.044,4.2,2,2.2,0,45.6,25.5,37.2,37.8,23.5,17.0,35.6,20.6,42.2,50.8,48.9,0.2979,LOW,Low belonging / weak mentor support,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01158,TRAIN,20,2,Commerce/Management,Government,Hostel,1,6.81,2,5,0.639,80.5,2.2,2,12.7,-22.8,63.6,2.9,2,28,16,0,21.1,7.3,3.9,2.0,0.304,0.302,7,0.189,3.7,2,3.5,0,52.7,29.8,41.8,43.9,38.1,16.9,37.5,36.7,23.9,34.7,73.8,0.4339,MODERATE,Wellbeing / support need,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01159,TEST,23,6,Commerce/Management,Private,With Family,0,6.67,3,4,0.775,78.2,0.8,5,14.7,-16.3,68.1,5.5,1,60,0,0,11.8,9.2,3.4,2.1,0.526,0.297,35,0.065,4.8,5,3.4,0,48.0,31.3,30.7,40.6,36.4,27.7,25.2,34.1,11.5,10.3,50.8,0.2324,LOW,Wellbeing / support need,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01160,TRAIN,18,5,Science,Government,With Family,0,7.47,2,2,0.875,71.2,-17.2,2,12.0,11.2,82.5,6.4,2,26,0,0,0.0,10.5,3.5,2.4,0.275,0.096,54,0.073,4.6,3,5.0,1,34.4,45.3,37.8,5.2,8.1,34.2,42.6,11.1,51.2,28.8,80.0,0.2843,LOW,Wellbeing / support need,Commute / housing / accessibility,0,TRANSFERRED,,SIH_SYN_V1_2026-08-22
SYN01161,TEST,18,6,Arts/Humanities,Private,Hostel,0,8.75,1,1,0.888,82.7,-9.3,2,12.3,25.6,89.7,4.1,2,1,0,1,10.7,2.3,4.7,1.7,0.131,0.127,14,0.128,2.3,2,2.3,1,15.9,26.8,19.0,30.1,28.9,5.5,8.9,11.1,23.4,51.3,32.3,0.0765,LOW,Low belonging / weak mentor support,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01162,TRAIN,22,4,Health/Allied,Private,PG/Rented,1,7.28,2,2,0.88,88.6,-3.2,3,15.0,4.9,68.4,5.8,2,37,3,0,10.9,17.8,2.8,1.4,0.312,0.36,65,0.195,3.5,3,4.1,1,41.4,34.6,35.7,36.1,22.3,59.7,39.6,50.2,73.9,46.1,65.5,0.5432,MODERATE,Commute / housing / accessibility,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01163,TRAIN,19,4,Commerce/Management,Private,Hostel,0,9.62,1,2,0.908,99.5,3.9,0,11.8,-11.5,83.3,5.3,2,15,0,1,0.0,0.9,3.9,3.5,0.246,0.362,3,0.0,4.6,3,3.0,0,3.6,9.5,36.4,24.0,27.5,24.4,65.7,33.2,3.2,18.2,36.1,0.0815,LOW,Course mismatch / low interest,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01164,TRAIN,23,6,Commerce/Management,Government,With Family,0,8.07,1,2,0.917,88.0,9.7,0,16.0,15.7,86.5,3.9,0,0,0,0,0.0,5.2,4.5,1.0,0.004,0.065,11,0.002,4.2,3,4.2,0,23.3,8.4,18.6,20.4,14.6,12.0,6.5,2.4,6.5,18.7,50.5,0.0408,LOW,Wellbeing / support need,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01165,TEST,22,6,Engineering/Technology,Government-Aided,With Family,0,7.08,1,2,0.82,92.1,-3.0,1,14.1,34.5,89.1,1.5,1,19,0,1,0.0,9.0,3.3,2.2,0.236,0.265,35,0.0,3.4,4,2.9,0,15.5,26.6,19.2,31.2,23.6,20.1,41.6,21.3,16.5,14.6,61.0,0.0821,LOW,Wellbeing / support need,Course mismatch / low interest,0,TRANSFERRED,,SIH_SYN_V1_2026-08-22
SYN01166,TRAIN,19,5,Arts/Humanities,Government-Aided,Hostel,0,8.02,0,2,0.865,61.2,-20.0,6,11.5,-34.9,61.2,5.9,2,94,0,1,0.0,1.5,3.8,1.6,0.234,0.194,17,0.321,4.4,4,4.4,0,23.6,61.0,46.8,58.8,56.0,4.9,41.8,23.6,43.7,16.6,77.2,0.5687,MODERATE,Wellbeing / support need,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01167,TRAIN,22,4,Engineering/Technology,Government-Aided,With Family,0,7.23,1,2,0.858,83.8,0.2,3,8.5,-9.9,82.3,1.4,1,50,0,0,0.0,3.5,3.7,1.0,0.137,0.0,26,0.061,3.9,5,4.6,1,20.9,30.0,28.4,16.9,17.4,8.4,28.0,0.7,27.4,15.3,88.6,0.1116,LOW,Wellbeing / support need,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01168,TRAIN,26,4,Engineering/Technology,Government,With Family,0,4.49,4,6,0.48,69.1,-19.3,3,11.2,-9.9,65.1,5.6,3,20,0,0,0.0,4.6,3.2,2.3,0.415,0.122,39,0.022,4.6,4,2.3,1,75.0,52.2,53.7,2.8,5.4,21.8,42.2,6.3,8.2,21.0,55.1,0.2939,LOW,Academic difficulty,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01169,TRAIN,19,5,Health/Allied,Private,PG/Rented,0,6.8,3,2,0.778,78.7,-0.1,4,11.5,-9.0,74.2,1.1,2,28,0,0,0.0,11.9,5.0,1.0,0.134,0.111,11,0.0,3.5,4,1.5,0,27.7,25.5,24.2,40.2,33.1,24.3,3.1,13.0,24.7,14.3,23.1,0.0909,LOW,Financial stress,Employment/work pressure,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01170,VALID,20,1,Commerce/Management,Government,PG/Rented,1,7.0,2,4,0.619,76.6,1.0,5,7.6,-46.1,48.5,8.4,4,53,9,1,8.9,11.0,1.7,4.4,0.405,0.255,27,0.0,1.0,1,5.0,0,52.1,39.3,77.8,35.7,24.1,34.1,75.3,27.6,11.2,86.8,100.0,0.7891,CRITICAL,Wellbeing / support need,Low belonging / weak mentor support,1,DROPOUT,COURSE_MISMATCH_OR_LOW_INTEREST,SIH_SYN_V1_2026-08-22
SYN01171,TRAIN,24,1,Commerce/Management,Private,PG/Rented,1,7.7,2,1,0.815,79.4,-1.9,0,12.8,-18.2,88.7,3.1,3,16,5,1,0.0,0.0,3.9,2.9,0.293,0.089,31,0.117,4.4,3,2.0,0,21.4,26.5,25.9,9.9,8.4,7.0,31.3,24.9,29.7,40.9,28.7,0.0844,LOW,Low belonging / weak mentor support,Course mismatch / low interest,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01172,TRAIN,23,1,Science,Government,Hostel,0,6.89,1,2,0.893,85.5,-0.3,3,12.0,-39.7,76.5,4.7,1,14,0,1,7.8,15.4,2.3,3.0,0.19,0.305,3,0.201,3.3,5,2.7,0,27.9,32.4,40.7,12.9,11.7,44.5,54.9,28.7,18.8,40.8,33.8,0.1727,LOW,Course mismatch / low interest,Family/domestic responsibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01173,TRAIN,23,2,Science,Government-Aided,With Family,0,5.58,4,5,0.643,88.0,5.0,2,10.8,9.8,70.3,2.7,2,31,0,1,0.0,13.5,3.3,3.5,0.201,0.243,27,0.046,3.8,3,1.6,0,47.2,16.9,34.1,47.3,42.5,6.2,56.2,33.5,12.0,23.7,33.8,0.2749,LOW,Course mismatch / low interest,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01174,TRAIN,21,1,Commerce/Management,Government-Aided,Hostel,0,6.02,3,4,0.699,73.1,-14.2,5,9.8,-42.0,62.3,7.6,3,29,0,0,0.0,15.6,2.9,3.9,0.58,0.492,13,0.14,3.4,1,3.5,0,49.8,40.2,60.0,7.1,4.8,49.9,48.9,66.2,15.7,44.4,32.3,0.3253,LOW,Transition / language / prerequisite gap,Low learning engagement,1,DROPOUT,TRANSITION_OR_LANGUAGE_GAP,SIH_SYN_V1_2026-08-22
SYN01175,TRAIN,18,3,Arts/Humanities,Private,PG/Rented,1,5.44,3,4,0.59,68.5,-6.9,4,16.0,-15.1,75.1,2.4,2,67,38,0,0.0,7.2,3.0,3.5,0.507,0.127,30,0.111,5.0,3,1.7,0,63.3,46.1,33.2,48.5,28.9,36.6,43.1,43.1,31.7,17.7,41.2,0.4852,MODERATE,Academic difficulty,Financial stress,1,DROPOUT,COMMUTE_HOUSING_ACCESS,SIH_SYN_V1_2026-08-22
SYN01176,TRAIN,18,7,Science,Private,PG/Rented,0,6.85,3,3,0.593,70.9,-4.4,6,8.5,-36.6,64.7,7.9,1,66,0,0,21.5,4.3,2.3,2.8,0.22,0.08,45,0.118,4.8,4,2.3,1,56.0,44.1,45.8,45.1,33.6,8.7,51.2,7.5,33.1,14.7,33.5,0.3638,LOW,Academic difficulty,Course mismatch / low interest,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01177,TRAIN,22,5,Engineering/Technology,Government-Aided,Hostel,0,7.91,0,0,0.926,78.3,-20.3,5,11.8,-34.1,72.4,7.5,1,0,0,1,0.0,17.4,4.1,2.2,0.062,0.012,8,0.126,2.9,3,2.5,0,6.4,41.0,43.3,10.7,17.0,50.3,27.6,5.2,20.8,45.6,34.3,0.1351,LOW,Family/domestic responsibility,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01178,TRAIN,25,4,Engineering/Technology,Government,With Family,0,7.35,2,3,0.681,84.4,-7.5,2,12.4,-2.2,69.0,4.3,0,52,0,1,6.6,9.5,3.7,1.5,0.423,0.331,32,0.025,2.8,3,3.8,0,46.0,17.3,32.6,16.9,15.3,27.6,21.8,28.0,23.9,43.4,59.7,0.1447,LOW,Wellbeing / support need,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01179,TRAIN,21,2,Arts/Humanities,Government,With Family,0,8.06,2,2,0.834,71.9,2.0,4,11.7,0.2,75.9,5.1,3,48,0,1,0.0,6.5,4.0,1.7,0.109,0.256,51,0.082,2.4,4,3.9,0,27.9,26.3,28.7,4.9,8.7,39.9,23.7,24.7,45.2,41.5,68.2,0.1606,LOW,Wellbeing / support need,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01180,TEST,23,7,Engineering/Technology,Government-Aided,Hostel,0,6.84,1,2,0.898,77.2,7.7,2,11.0,-4.2,80.0,4.8,1,26,0,1,0.0,3.2,3.8,2.9,0.161,0.135,24,0.372,3.5,2,3.2,0,27.1,41.4,30.1,38.0,33.5,24.7,35.2,10.3,42.8,27.5,53.4,0.2394,LOW,Wellbeing / support need,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01181,TRAIN,18,3,Engineering/Technology,Government-Aided,With Family,0,6.4,2,3,0.835,69.1,-13.0,5,7.8,2.6,57.6,5.3,2,29,0,0,0.0,7.2,3.5,3.4,0.296,0.347,70,0.133,4.4,4,3.7,0,42.6,58.9,49.9,19.6,24.7,28.0,38.1,14.9,51.4,16.3,91.6,0.4557,MODERATE,Wellbeing / support need,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01182,VALID,18,8,Arts/Humanities,Private,With Family,0,6.47,1,3,0.824,70.5,-6.2,5,8.0,-16.9,62.1,2.7,2,98,0,1,0.0,10.0,4.8,2.0,0.281,0.335,29,0.0,2.6,1,4.2,0,33.3,50.0,39.4,63.5,58.7,25.1,7.5,28.2,14.0,53.3,74.3,0.5226,MODERATE,Wellbeing / support need,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01183,TRAIN,23,3,Engineering/Technology,Government-Aided,With Family,0,4.22,5,6,0.526,77.5,-9.1,5,16.5,-16.8,71.6,7.9,2,64,0,1,0.0,6.6,4.2,2.7,0.29,0.042,59,0.0,4.1,4,3.0,1,80.0,53.6,53.0,47.3,57.7,17.3,28.7,2.4,55.0,24.9,49.9,0.6667,MODERATE,Academic difficulty,Employment/work pressure,1,DROPOUT,COURSE_MISMATCH_OR_LOW_INTEREST,SIH_SYN_V1_2026-08-22
SYN01184,TEST,21,2,Arts/Humanities,Government-Aided,PG/Rented,0,4.95,4,6,0.577,61.2,6.8,4,14.4,-24.5,71.5,7.1,3,44,0,0,16.8,0.6,4.5,1.6,0.439,0.289,32,0.095,4.2,4,3.6,0,71.8,53.9,46.5,17.2,24.5,29.2,15.9,38.8,34.2,33.9,53.9,0.4719,MODERATE,Academic difficulty,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01185,TRAIN,19,5,Commerce/Management,Government,With Family,1,6.13,1,3,0.692,74.0,0.6,2,14.0,-30.0,68.9,3.6,0,18,33,1,0.0,9.6,4.4,1.0,0.209,0.312,93,0.021,2.3,0,2.0,0,41.4,30.1,27.4,13.0,11.9,29.1,13.4,31.3,70.9,67.7,34.2,0.2046,LOW,Commute / housing / accessibility,Low belonging / weak mentor support,0,TEMPORARY_BREAK,,SIH_SYN_V1_2026-08-22
SYN01186,TRAIN,22,3,Commerce/Management,Government,PG/Rented,0,5.02,3,5,0.669,77.8,-8.8,5,10.7,-10.0,66.9,5.9,1,67,0,1,0.0,6.8,3.8,1.6,0.296,0.065,53,0.166,2.6,3,3.3,0,54.6,49.4,39.6,67.9,50.2,19.9,17.7,14.5,44.6,60.9,51.9,0.6178,MODERATE,Financial stress,Low belonging / weak mentor support,1,DROPOUT,COMMUTE_HOUSING_ACCESS,SIH_SYN_V1_2026-08-22
SYN01187,TRAIN,22,4,Arts/Humanities,Government-Aided,PG/Rented,0,6.71,1,1,0.869,82.3,-5.0,1,11.4,1.2,69.3,6.7,1,63,0,1,0.0,5.2,4.5,2.6,0.266,0.286,29,0.145,4.0,1,3.8,1,22.9,28.5,33.7,31.3,23.0,4.9,19.2,29.0,36.5,36.0,65.6,0.175,LOW,Wellbeing / support need,Commute / housing / accessibility,1,DROPOUT,LOW_CAMPUS_SUPPORT,SIH_SYN_V1_2026-08-22
SYN01188,TEST,20,6,Science,Private,With Family,0,9.55,1,1,0.823,93.3,8.5,0,10.2,-5.4,79.6,1.9,2,1,0,1,0.0,9.2,4.2,2.1,0.11,0.13,32,0.187,2.8,3,2.6,0,5.7,6.8,26.7,5.6,18.1,9.3,14.6,23.0,22.1,34.8,46.4,0.0179,LOW,Wellbeing / support need,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01189,TRAIN,23,4,Commerce/Management,Government,With Family,0,6.68,2,3,0.813,75.0,-16.7,6,14.3,-17.5,70.8,6.8,1,25,0,0,0.0,11.8,4.8,1.8,0.257,0.305,68,0.237,2.3,3,2.8,0,31.8,36.4,39.9,31.6,19.3,51.6,18.6,35.2,39.0,72.7,52.2,0.3628,LOW,Low belonging / weak mentor support,Wellbeing / support need,1,DROPOUT,ACADEMIC_DIFFICULTY,SIH_SYN_V1_2026-08-22
SYN01190,TRAIN,18,8,Arts/Humanities,Government-Aided,Hostel,1,7.64,3,4,0.687,71.0,-7.1,7,7.2,-23.8,67.0,7.4,2,66,21,0,0.0,24.9,5.0,1.3,0.176,0.125,19,0.313,2.9,2,3.4,1,38.2,58.2,46.5,33.6,20.6,67.0,19.7,11.0,39.1,40.5,50.6,0.4269,MODERATE,Family/domestic responsibility,Attendance decline,1,DROPOUT,COMMUTE_HOUSING_ACCESS,SIH_SYN_V1_2026-08-22
SYN01191,TRAIN,22,5,Engineering/Technology,Private,PG/Rented,1,7.94,2,3,0.803,91.8,9.2,1,8.1,4.4,76.1,3.4,3,20,22,1,0.0,15.2,3.7,1.7,0.188,0.165,21,0.061,4.9,4,1.1,0,30.1,15.7,32.7,19.6,18.1,17.7,17.6,19.4,6.1,13.2,15.4,0.0489,LOW,Low learning engagement,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01192,TRAIN,18,6,Arts/Humanities,Government,Hostel,1,7.32,1,2,0.889,75.6,-6.7,6,12.7,6.2,64.5,4.8,2,20,0,1,0.0,20.5,4.7,1.7,0.041,0.116,12,0.109,3.1,4,1.5,0,24.3,39.7,34.3,5.2,5.7,29.7,11.1,16.4,12.9,51.1,29.2,0.0906,LOW,Low belonging / weak mentor support,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01193,VALID,21,1,Science,Government-Aided,With Family,0,5.44,3,5,0.553,74.1,-6.5,3,12.7,2.1,73.1,4.0,0,0,0,0,0.0,0.8,4.4,1.5,0.418,0.279,31,0.0,4.0,2,1.9,0,65.6,40.8,31.7,14.6,14.5,7.4,20.2,38.6,5.4,39.4,28.4,0.1642,LOW,Academic difficulty,Attendance decline,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01194,TRAIN,19,1,Commerce/Management,Private,With Family,0,6.3,1,2,0.814,88.2,-2.9,2,9.1,-30.2,69.5,10.4,2,25,0,0,0.0,7.8,1.7,4.2,0.298,0.233,24,0.0,3.8,3,3.2,0,28.4,25.9,52.5,11.4,23.9,16.1,74.1,28.1,20.3,31.5,64.9,0.2564,LOW,Course mismatch / low interest,Wellbeing / support need,1,DROPOUT,COMMUTE_HOUSING_ACCESS,SIH_SYN_V1_2026-08-22
SYN01195,TRAIN,18,5,Arts/Humanities,Government,With Family,0,8.46,1,1,0.873,93.0,0.7,0,12.0,40.8,100.0,2.5,0,27,0,0,5.5,13.2,4.9,1.0,0.17,0.14,29,0.085,4.0,4,1.9,0,13.5,8.7,5.4,28.0,17.4,13.2,14.8,9.7,11.6,19.2,15.2,0.01,LOW,Financial stress,Low belonging / weak mentor support,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01196,TRAIN,24,1,Engineering/Technology,Government,Hostel,0,6.88,2,3,0.893,85.9,1.3,2,10.3,-2.2,77.5,6.1,0,3,0,0,11.8,13.8,3.7,2.5,0.374,0.176,20,0.204,3.9,4,2.0,0,35.0,28.4,29.1,18.8,19.6,42.6,26.5,34.0,33.7,9.7,17.2,0.0708,LOW,Family/domestic responsibility,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01197,TRAIN,21,3,Science,Private,With Family,1,7.35,0,3,0.907,71.7,-15.4,3,9.0,1.6,76.0,5.1,2,40,13,0,0.0,17.8,4.6,1.0,0.168,0.029,55,0.047,2.2,5,3.2,0,25.4,46.1,36.6,32.4,23.5,68.3,11.1,11.0,25.7,44.1,60.1,0.2953,LOW,Family/domestic responsibility,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01198,VALID,21,5,Science,Government-Aided,Hostel,0,8.44,1,1,0.975,87.5,-6.4,2,15.1,-6.7,84.0,4.7,1,74,0,1,0.0,4.9,3.8,2.1,0.013,0.171,12,0.199,3.4,2,1.8,0,12.4,18.6,26.5,63.1,40.2,9.3,33.8,3.4,12.1,37.0,16.2,0.1122,LOW,Financial stress,Employment/work pressure,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01199,TEST,20,4,Health/Allied,Private,Hostel,0,7.64,1,2,0.85,74.2,-3.8,3,11.4,-1.4,78.0,4.4,2,18,0,0,13.2,5.4,3.6,1.4,0.182,0.091,6,0.022,4.6,3,5.0,0,25.1,34.2,30.9,38.1,22.7,4.4,23.3,14.2,4.3,13.5,98.3,0.1972,LOW,Wellbeing / support need,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01200,TRAIN,21,3,Other,Government,With Family,1,9.1,0,0,1.0,85.2,3.6,2,12.0,15.4,98.0,1.0,0,37,0,0,0.0,0.2,4.6,2.1,0.01,0.161,14,0.056,4.3,3,4.0,0,7.6,19.3,3.5,23.2,13.9,12.5,5.6,23.1,5.8,21.5,65.2,0.0662,LOW,Wellbeing / support need,Financial stress,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01201,TRAIN,18,7,Commerce/Management,Government,Hostel,1,8.52,1,2,0.945,78.2,-5.8,5,13.4,-1.9,84.2,0.5,1,34,32,0,0.0,23.6,5.0,1.0,0.082,0.254,13,0.305,4.0,1,3.0,1,24.4,46.7,17.5,37.4,30.9,56.3,4.8,20.1,20.4,31.5,52.3,0.2237,LOW,Family/domestic responsibility,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN01202,TRAIN,24,5,Other,Government,Hostel,0,8.21,2,2,0.828,89.9,15.6,1,13.4,-8.3,84.9,0.5,0,15,0,1,0.0,11.9,2.7,4.5,0.202,0.207,26,0.28,4.6,3,1.9,0,29.7,21.0,22.7,8.0,7.3,35.2,65.0,10.8,54.4,19.3,31.9,0.1348,LOW,Course mismatch / low interest,Commute / housing / accessibility,0,TEMPORARY_BREAK,,SIH_SYN_V1_2026-08-22
SYN01203,TRAIN,20,5,Commerce/Management,Government,With Family,0,9.02,1,0,0.943,78.8,3.6,2,13.0,-0.1,78.6,3.7,1,22,0,0,16.2,13.0,5.0,1.0,0.231,0.28,45,0.1,4.2,4,2.4,0,12.0,29.4,20.1,46.8,34.1,24.0,1.8,27.1,6.7,17.6,36.8,0.0937,LOW,Financial stress,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
